Food_Item,Category,Calories,Protein,Carbs,Fat,Vegetarian,Vegan,Dosha_Vata,Dosha_Pitta,Dosha_Kapha,Food_Group,Fat_Adjusted
Chana Dal (light) (fermented (mild)) - 4383,Madhya Pradesh,164,6.0,27.4,1.1,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Eromba (thin) - 4384,Bengali,30,2.9,16.8,1.1,Yes,No,neutral,neutral,neutral,Others,
Kanji (rice porridge) (boiled) - 4385,Goan,135,5.1,29.1,0.0,Yes,No,decreases,decreases,neutral,Grains,0.5
Muskmelon (mild) - 4386,Ladakh,20,2.9,4.5,0.6,Yes,Yes,decreases,decreases,neutral,Others,
Momo (with jaggery (small)) - 4387,International,181,0.3,30.3,0.0,Yes,No,neutral,neutral,neutral,Others,
Panchmel Dal (boiled),Northeast,169,8.7,24.3,0.8,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Coconut Pudding (with vegetables) - 4389,International,108,3.1,16.8,0.2,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Mosambi (with vegetables) - 4390,International,52,2.3,26.5,0.7,Yes,Yes,decreases,decreases,neutral,Vegetables,0.5
Oats Porridge (thin) (mild) - 4391,International,194,6.2,27.1,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Sambar (with vegetables) - 4392,North Indian,185,1.0,55.6,0.8,Yes,No,neutral,increases,neutral,Legumes/Pulses,1.0
Pitha (fermented (mild)),International,156,3.8,18.0,1.0,Yes,No,neutral,neutral,neutral,Others,
Kanika (mild) - 4394,Bengali,110,2.6,7.5,0.0,Yes,No,decreases,neutral,neutral,Others,
Steamed Idli (fermented (mild)),Gujarati,118,4.7,29.6,0.2,Yes,No,decreases,decreases,neutral,Grains,0.5
Machha Tarkari (lightly spiced) - 4396,Rajasthani,101,2.1,8.0,0.5,Yes,No,neutral,increases,neutral,Others,
Watermelon (plain) - 4397,International,84,3.2,14.0,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Plain Dosa (boiled) - 4398,Rajasthani,116,3.0,32.6,0.8,Yes,No,decreases,decreases,neutral,Grains,6.0
Neer Dosa (with jaggery (small)) - 4399,International,173,3.0,50.3,1.0,Yes,No,decreases,neutral,neutral,Grains,6.0
Sel Roti (mild),Madhya Pradesh,66,0.2,33.0,0.0,Yes,No,decreases,neutral,neutral,Grains,1.5
Dabeli (steamed) - 4401,Bengali,116,3.6,47.5,0.0,Yes,No,neutral,neutral,neutral,Beverages,0.0
Mishti Doi (boiled),International,122,0.2,21.8,2.7,Yes,No,neutral,neutral,neutral,Others,
Tuna Curry (with vegetables) - 4403,International,30,1.0,29.3,1.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Kanika (steamed) - 4404,Assamese,210,5.5,9.7,4.8,Yes,No,decreases,neutral,neutral,Beverages,0.0
Mosambi (with jaggery (small)),Karnataka,102,1.8,20.4,0.7,Yes,Yes,decreases,decreases,neutral,Others,
Basmati Rice (lightly spiced) - 4406,Andhra/Telangana,142,2.7,39.1,0.7,Yes,No,decreases,neutral,neutral,Grains,0.5
Phagshapa (thin) - 4407,Jammu & Kashmir,95,3.7,23.6,3.9,Yes,No,neutral,neutral,neutral,Others,
Toor Dal (light) (mild) - 4408,Jammu & Kashmir,120,7.9,17.8,0.0,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Dosa (sprouted),International,133,6.8,25.8,0.4,Yes,No,decreases,neutral,neutral,Grains,6.0
Pappu Charu (mild) - 4410,Chhattisgarh,106,2.7,37.2,0.2,Yes,No,decreases,neutral,neutral,Others,
Fish Curry (light) (lightly spiced) - 4411,Odia,185,15.2,4.2,8.5,No,No,neutral,increases,neutral,Non-Veg Protein,6.0
Millet Porridge (thin) - 4412,Northeast,122,3.5,26.1,1.7,Yes,No,decreases,decreases,neutral,Others,
Pesarattu (steamed) - 4413,International,106,7.6,48.3,2.0,Yes,No,decreases,neutral,neutral,Beverages,0.0
Bajra Roti (lightly spiced) - 4414,Bengali,68,1.1,50.5,2.7,Yes,No,neutral,increases,neutral,Grains,1.5
Kanji (rice porridge) (with jaggery (small)) - 4415,International,140,6.7,42.7,1.4,Yes,No,decreases,decreases,neutral,Grains,0.5
Ghee (small serving) (lightly spiced) - 4416,International,119,5.5,20.8,7.3,Yes,No,neutral,neutral,increases,Dairy Products,81.0
Kachori (mild),International,130,0.2,40.3,0.0,Yes,No,neutral,decreases,neutral,Others,
Fish Curry (light) (lightly spiced) - 4418,Karnataka,241,14.8,0.9,0.5,No,No,neutral,increases,neutral,Non-Veg Protein,6.0
Panchmel Dal (boiled) - 4419,International,158,4.0,30.5,0.0,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Chettinad Chicken Curry (mild) - 4420,Odia,322,30.5,3.9,8.4,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Pappu Charu (fermented (mild)) - 4421,International,173,0.2,14.2,0.0,Yes,No,decreases,neutral,neutral,Others,
Fish Curry (light) (with vegetables) - 4422,Maharashtrian,206,9.3,7.2,1.5,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Butter Chicken (steamed),Chhattisgarh,154,21.1,4.0,4.5,No,No,neutral,neutral,increases,Dairy Products,81.0
Fish Fry (plain) - 4424,International,155,24.7,0.1,0.3,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Bajra Khichdi (boiled),Lakshadweep,200,3.7,34.3,0.2,Yes,No,decreases,decreases,neutral,Others,
Bagara Baingan (lightly spiced) - 4426,International,79,0.2,22.2,0.0,Yes,No,neutral,increases,neutral,Vegetables,0.5
Kanji (rice porridge) (boiled) - 4427,Punjabi,94,1.0,37.4,0.4,Yes,No,decreases,decreases,neutral,Grains,0.5
Hyderabadi Biryani (with vegetables) - 4428,Karnataka,84,1.3,44.7,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Sambar (steamed) - 4429,Punjabi,160,4.0,26.9,2.5,Yes,No,neutral,neutral,neutral,Legumes/Pulses,1.0
Haak (with vegetables) - 4430,Ladakh,69,3.3,32.2,0.7,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Dahi Bhalla (with jaggery (small)) - 4431,International,112,1.6,29.3,3.0,Yes,No,neutral,neutral,neutral,Others,
Millet Porridge (fermented (mild)) - 4432,Gujarati,128,3.5,30.5,0.0,Yes,No,decreases,decreases,neutral,Others,
Pazham Pori (fermented (mild)) - 4433,Madhya Pradesh,68,1.8,9.1,0.0,Yes,No,decreases,neutral,neutral,Others,
Vada Pav (sprouted) - 4434,International,61,3.1,20.7,0.0,Yes,No,neutral,neutral,neutral,Others,
Khambir (with vegetables) - 4435,North Indian,141,4.1,23.8,0.4,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Custard Apple (with vegetables) - 4436,Karnataka,96,2.7,12.1,1.2,Yes,Yes,decreases,decreases,increases,Vegetables,0.5
Mirchi Bada (plain) - 4437,Generic,91,0.2,16.9,0.0,Yes,No,decreases,neutral,neutral,Others,
Hyderabadi Biryani (thin) - 4438,Maharashtrian,111,4.5,33.6,1.5,Yes,No,neutral,neutral,neutral,Others,
Vada (mild) - 4439,Rajasthani,146,0.4,18.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Naga Pork Curry (mild) - 4440,Generic,220,23.8,0.7,4.9,No,No,neutral,neutral,neutral,Vegetables,0.5
Manda Pitha (plain) - 4441,Andhra/Telangana,74,3.2,22.6,0.6,Yes,No,neutral,neutral,neutral,Others,
Kakori Kebab (with vegetables) - 4442,International,108,8.4,35.6,0.8,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Malabar Parotta (with jaggery (small)) - 4443,Karnataka,148,0.2,35.9,0.1,Yes,No,increases,neutral,neutral,Others,
Galouti Kebab (fermented (mild)) - 4444,Maharashtrian,129,0.9,41.7,1.9,Yes,No,decreases,neutral,neutral,Others,
Sprouted Moong (sprouted) - 4445,Northeast,143,7.2,47.3,0.8,Yes,Yes,decreases,neutral,neutral,Others,
Mysore Masala Dosa (mild) - 4446,International,195,1.6,36.4,0.1,Yes,No,decreases,decreases,neutral,Grains,6.0
Vegetable Stir Fry (light) (with vegetables) - 4447,Maharashtrian,168,3.8,31.0,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Greek Salad (light) (mild) - 4448,Rajasthani,31,3.1,6.1,3.1,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Chapati (with vegetables) - 4449,Chhattisgarh,196,2.8,43.1,1.9,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Gatte ki Sabzi (with vegetables) - 4450,Jammu & Kashmir,95,1.0,39.5,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Kakori Kebab (plain) - 4451,North Indian,47,3.6,21.3,0.0,Yes,No,decreases,neutral,neutral,Others,
Bedmi Puri with Aloo Sabzi (with jaggery (small)),Assamese,111,2.3,34.9,1.3,Yes,No,increases,neutral,neutral,Vegetables,0.5
Kitchari (moong+rice) (fermented (mild)),International,100,11.6,18.5,1.8,Yes,No,decreases,decreases,neutral,Grains,0.5
Dohneiiong (sprouted) - 4454,Odia,104,6.6,14.2,3.1,Yes,No,decreases,neutral,neutral,Others,
Ghevar (plain) - 4455,International,103,2.9,27.3,0.0,Yes,No,decreases,neutral,neutral,Others,
Quinoa Salad (mild) - 4456,Tamil Nadu,130,1.0,24.8,0.9,Yes,No,decreases,neutral,neutral,Vegetables,0.5
Dal Baati Churma (boiled),Lakshadweep,114,4.9,21.4,2.1,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Chhena Jhili (with vegetables) - 4458,Kerala,91,8.4,23.3,0.9,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Pomegranate (fermented (mild)) - 4459,Generic,20,2.2,34.6,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Pork with Bamboo Shoot (with vegetables) - 4460,Assamese,224,13.9,5.2,5.5,No,No,neutral,neutral,neutral,Vegetables,0.5
Pulihora (with vegetables) - 4461,Lakshadweep,80,6.0,16.5,2.2,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Fish Curry (light) (mild) - 4462,Lakshadweep,254,26.6,0.0,6.3,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Goan Sausage Pulao (with vegetables) - 4463,Odia,92,3.2,18.9,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Masor Tenga (with vegetables),Ladakh,172,4.3,33.5,3.4,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Simple Grilled Fish (plain) - 4465,Bengali,252,18.2,1.3,0.4,No,No,neutral,neutral,neutral,Non-Veg Protein,6.0
Malpua (plain) - 4466,International,382,5.0,20.4,13.9,Yes,No,decreases,neutral,increases,Others,
Coconut Rice (plain) - 4467,International,136,4.2,19.9,0.0,Yes,No,decreases,decreases,neutral,Grains,0.5
Aloo Paratha (lightly spiced) - 4468,Jammu & Kashmir,123,1.7,24.5,0.0,Yes,No,neutral,increases,neutral,Grains,8.0
Watermelon (with jaggery (small)) - 4469,Madhya Pradesh,168,0.1,30.6,1.4,Yes,Yes,decreases,neutral,neutral,Others,
Machha Tarkari (with jaggery (small)) - 4470,South Indian,118,4.4,23.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Poita Bhat (with vegetables) - 4471,International,101,1.0,23.1,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Mishti Doi (mild) - 4472,Odia,82,0.2,30.1,0.0,Yes,No,decreases,decreases,neutral,Others,
Paratha (mixed) (boiled) - 4473,International,89,6.1,28.4,0.0,Yes,No,neutral,neutral,neutral,Grains,8.0
Methi Thepla (with vegetables),Odia,91,6.7,12.5,4.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Misal Pav (with vegetables) - 4475,Lakshadweep,148,3.8,40.9,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Chana Ghugni (with vegetables) - 4476,International,141,3.9,35.3,3.1,Yes,No,neutral,neutral,neutral,Legumes/Pulses,1.0
Chapati (mild) - 4477,Northeast,197,0.2,12.5,3.1,Yes,No,decreases,decreases,neutral,Others,
Puttu (boiled) - 4478,Chhattisgarh,86,0.2,15.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Khicede (with vegetables) - 4479,International,115,6.5,20.8,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Malaiyo (with vegetables) - 4480,International,142,5.1,26.0,0.2,Yes,No,neutral,neutral,increases,Vegetables,0.5
Poha (boiled) - 4481,International,121,3.6,32.7,0.0,Yes,No,decreases,neutral,neutral,Others,
Mohan Maas (lightly spiced) - 4482,Andhra/Telangana,123,3.2,21.9,3.4,Yes,No,neutral,increases,neutral,Others,
Gustaba (fermented (mild)),Andhra/Telangana,170,0.3,14.9,2.4,Yes,No,neutral,neutral,neutral,Others,
Goan Sausage Pulao (mild) - 4484,Gujarati,205,0.5,18.1,0.0,Yes,No,neutral,neutral,neutral,Others,
Momos (thin) - 4485,Tamil Nadu,86,0.2,42.8,2.2,Yes,No,neutral,neutral,neutral,Others,
Kitchari (moong+rice) (lightly spiced),Assamese,199,5.9,20.5,2.8,Yes,No,decreases,neutral,neutral,Grains,0.5
Warm Turmeric Milk (small) (mild) - 4487,Ladakh,234,5.5,3.0,0.2,Yes,No,neutral,decreases,increases,Dairy Products,3.5
Tuna Curry (with jaggery (small)),Ladakh,193,2.2,30.3,3.5,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Yakhni (with vegetables) - 4489,Goan,86,7.1,19.4,4.6,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Aloo Posto (plain) - 4490,International,132,0.8,21.0,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Mawa Bati (fermented (mild)),International,77,0.8,12.3,0.0,Yes,No,decreases,neutral,neutral,Others,
Paneer Tikka (with jaggery (small)) - 4492,Lakshadweep,225,5.7,20.6,2.1,Yes,No,neutral,neutral,increases,Dairy Products,20.0
Smoked Pork with Bamboo Shoot (lightly spiced) - 4493,Jammu & Kashmir,247,14.2,6.6,7.4,No,No,neutral,increases,neutral,Others,
Aloo Tikki (fermented (mild)),Goan,82,3.0,7.1,2.3,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Pork with Bamboo Shoot (with jaggery (small)) - 4495,Kerala,228,22.9,11.6,5.9,No,No,neutral,increases,neutral,Others,
Pesarattu (plain) - 4496,Assamese,58,3.5,50.9,3.4,Yes,No,decreases,neutral,neutral,Others,
Pootharekulu (thin) - 4497,International,140,4.9,23.6,0.0,Yes,No,neutral,neutral,neutral,Others,
Bobbatlu (sprouted),Kerala,117,4.1,25.0,1.6,Yes,No,neutral,neutral,neutral,Others,
Grapes (black) (boiled) - 4499,International,75,1.0,3.0,1.1,Yes,Yes,decreases,decreases,neutral,Fruits,0.3
Balushahi (lightly spiced),Jammu & Kashmir,157,2.9,26.8,0.0,Yes,No,neutral,increases,neutral,Others,
Jolada Rotti (with jaggery (small)) - 4501,International,117,2.6,48.5,3.7,Yes,No,neutral,neutral,neutral,Others,
Bhutte Ka Kees (thin) - 4502,Odia,87,0.2,35.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Chingri Malai Curry (plain) - 4503,International,168,2.3,20.9,2.0,Yes,No,decreases,decreases,increases,Vegetables,0.5
Khicede (plain) - 4504,International,122,2.0,40.5,0.0,Yes,No,decreases,neutral,neutral,Others,
Cow Milk (warm) (plain) - 4505,Madhya Pradesh,224,6.0,9.0,3.0,Yes,No,neutral,decreases,increases,Dairy Products,3.5
Neer Dosa (plain) - 4506,Northeast,94,1.0,19.5,0.2,Yes,No,decreases,decreases,neutral,Grains,6.0
Plain Rice (lightly spiced) - 4507,Goan,169,3.3,28.4,1.9,Yes,No,decreases,neutral,neutral,Grains,0.5
Quinoa Salad (with jaggery (small)) - 4508,Ladakh,170,1.1,36.4,1.2,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Warm Turmeric Milk (small) (sprouted) - 4509,Gujarati,237,10.6,3.0,3.8,Yes,No,neutral,neutral,increases,Dairy Products,3.5
Dal Pitha (with jaggery (small)),Northeast,160,3.0,27.0,1.9,Yes,No,decreases,neutral,neutral,Legumes/Pulses,1.0
Churma (sprouted) - 4511,Rajasthani,82,7.6,35.6,2.8,Yes,No,neutral,neutral,neutral,Others,
Amritsari Kulcha (mild) - 4512,Karnataka,82,0.9,24.5,2.3,Yes,No,decreases,neutral,neutral,Others,
Dohneiiong (steamed),Kerala,130,7.2,27.5,1.9,Yes,No,neutral,neutral,neutral,Beverages,0.0
Paturi (with vegetables) - 4514,International,148,5.1,26.9,0.9,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Chhena Jhili (with jaggery (small)) - 4515,Kerala,243,3.9,19.1,0.9,Yes,No,neutral,neutral,neutral,Others,
Kitchari (moong+rice) (thin) - 4516,Odia,120,5.3,31.5,1.7,Yes,No,decreases,neutral,neutral,Grains,0.5
Muskmelon (sprouted) - 4517,Odia,64,1.4,9.5,1.3,Yes,Yes,decreases,neutral,neutral,Others,
Puttu (mild) - 4518,Ladakh,105,3.8,16.8,0.0,Yes,No,decreases,neutral,neutral,Others,
Ragi Mudde (with vegetables) - 4519,Generic,144,5.9,27.4,3.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Machha Tarkari (steamed) - 4520,Lakshadweep,30,5.1,17.0,0.2,Yes,No,decreases,decreases,neutral,Beverages,0.0
Sel Roti (steamed),North Indian,137,6.8,39.2,0.0,Yes,No,decreases,neutral,neutral,Grains,1.5
Xacuti (mild) - 4522,International,165,7.0,27.2,0.0,Yes,No,neutral,neutral,neutral,Others,
Kiwi (thin),International,117,0.8,9.5,0.1,Yes,Yes,decreases,neutral,neutral,Others,
Roasted Makhana (light) (mild) - 4524,Kerala,101,1.9,28.4,1.4,Yes,No,neutral,neutral,neutral,Others,
Chhena Jhili (plain) - 4525,International,139,2.2,3.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Pork with Bamboo Shoot (mild) - 4526,Chhattisgarh,246,17.0,0.0,6.2,No,No,neutral,neutral,neutral,Others,
Axone (fermented soybean) (steamed),Chhattisgarh,104,4.7,28.1,3.2,Yes,Yes,neutral,neutral,neutral,Legumes/Pulses,1.0
Khambir (lightly spiced),Bengali,139,0.2,21.8,0.6,Yes,No,neutral,increases,neutral,Others,
Puttu (mild) - 4529,Rajasthani,99,1.1,20.3,1.0,Yes,No,decreases,neutral,neutral,Others,
Paneer (light) (fermented (mild)) - 4530,International,210,6.2,28.4,5.5,Yes,No,neutral,decreases,increases,Dairy Products,20.0
Machha Tarkari (boiled) - 4531,South Indian,56,5.0,30.6,2.1,Yes,No,neutral,neutral,neutral,Others,
Jackfruit (mild) - 4532,Rajasthani,143,2.4,9.3,0.8,Yes,Yes,decreases,decreases,increases,Fruits,0.3
Naga Chutney (sprouted) - 4533,Northeast,90,6.3,20.7,1.4,Yes,No,neutral,increases,neutral,Condiments,2.0
Chhena Jhili (mild) - 4534,Chhattisgarh,136,1.6,20.4,0.0,Yes,No,neutral,neutral,neutral,Others,
Hyderabadi Biryani (thin) - 4535,Assamese,85,0.2,3.0,1.2,Yes,No,neutral,neutral,neutral,Others,
Rajma (lightly spiced) - 4536,International,179,3.8,34.8,3.8,Yes,No,neutral,increases,neutral,Others,
Paneer (light) (with vegetables) - 4537,Jammu & Kashmir,418,3.1,22.3,6.2,Yes,No,neutral,neutral,increases,Dairy Products,20.0
Pineapple (with vegetables) - 4538,Rajasthani,70,3.1,13.9,0.9,Yes,Yes,decreases,neutral,neutral,Vegetables,0.5
Jadoh (lightly spiced) - 4539,Assamese,71,6.8,21.9,1.5,Yes,No,neutral,increases,neutral,Others,
Sabudana Khichdi (with vegetables) - 4540,International,122,3.5,33.3,0.7,Yes,No,decreases,neutral,neutral,Vegetables,0.5
Handvo (with jaggery (small)) - 4541,International,127,3.5,47.7,0.0,Yes,No,neutral,neutral,neutral,Others,
Machha Tarkari (thin) - 4542,Ladakh,122,3.2,39.7,0.4,Yes,No,neutral,neutral,neutral,Others,
Upma (plain) (fermented (mild)),International,183,1.0,20.6,1.7,Yes,No,decreases,decreases,neutral,Grains,0.5
Sabudana Khichdi (thin),Madhya Pradesh,118,4.6,35.1,1.7,Yes,No,decreases,neutral,neutral,Others,
Steamed Vegetables (plain) - 4545,Jammu & Kashmir,103,5.7,18.2,3.8,Yes,No,neutral,neutral,neutral,Beverages,0.0
Berry Mix (mild) - 4546,Kerala,74,0.2,11.5,0.4,Yes,Yes,decreases,decreases,neutral,Others,
Bagara Baingan (with vegetables) - 4547,Karnataka,131,1.9,29.5,1.1,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Rajma Chawal (mild) - 4548,International,138,2.4,27.0,1.8,Yes,No,neutral,neutral,neutral,Others,
Naga Pork Curry (mild) - 4549,Assamese,179,17.1,0.7,8.0,No,No,neutral,neutral,neutral,Vegetables,0.5
Pani Puri (plain) - 4550,International,88,1.4,39.0,0.8,Yes,No,neutral,neutral,neutral,Others,
Dosa (mild) - 4551,Ladakh,123,6.2,35.2,0.5,Yes,No,decreases,decreases,neutral,Grains,6.0
Khopra Pak (plain) - 4552,Generic,104,3.3,40.9,0.7,Yes,No,decreases,neutral,neutral,Others,
Dal Bafla (plain) - 4553,Andhra/Telangana,156,8.2,16.4,1.0,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Fresh Fruit Salad (seasonal) (sprouted) - 4554,International,185,4.2,30.7,1.4,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Khandvi (with vegetables) - 4555,International,172,3.0,40.3,0.7,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Coconut Chutney (boiled) - 4556,International,177,6.0,35.0,0.0,Yes,No,neutral,neutral,neutral,Condiments,2.0
Ada Pradhaman (sprouted) - 4557,Northeast,203,5.7,10.5,4.4,Yes,No,decreases,neutral,increases,Others,
Bhakri (with vegetables) - 4558,Madhya Pradesh,148,6.8,5.4,1.2,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Fig (plain) - 4559,Lakshadweep,95,0.8,17.6,0.1,Yes,Yes,decreases,decreases,neutral,Others,
Mango (ripe) (lightly spiced) - 4560,Rajasthani,175,1.9,24.6,0.2,Yes,Yes,decreases,neutral,increases,Fruits,0.3
Filter Coffee (with jaggery (small)) - 4561,Chhattisgarh,179,3.1,17.8,2.2,Yes,No,neutral,neutral,neutral,Beverages,0.0
Moong Dal (light) (fermented (mild)) - 4562,International,167,5.4,21.2,1.2,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Sarva Pindi (thin) - 4563,International,85,4.7,20.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Rasgulla (steamed),Odia,121,0.4,13.1,1.4,Yes,No,decreases,neutral,increases,Beverages,0.0
Dates (mild) - 4565,International,68,1.8,3.0,0.0,Yes,Yes,decreases,decreases,neutral,Others,
Axone (fermented soybean) (fermented (mild)),Generic,91,0.5,27.9,0.0,Yes,Yes,neutral,neutral,neutral,Legumes/Pulses,1.0
Sorpotel (sprouted),International,140,2.8,31.1,0.0,Yes,No,decreases,neutral,neutral,Others,
Thalipeeth (mild) - 4568,Chhattisgarh,138,3.4,46.2,0.0,Yes,No,decreases,neutral,neutral,Others,
Paneer (light) (mild) - 4569,Karnataka,79,10.6,7.9,10.0,Yes,No,decreases,decreases,increases,Dairy Products,20.0
Basmati Rice (fermented (mild)),Rajasthani,126,1.7,23.1,0.0,Yes,No,decreases,decreases,neutral,Grains,0.5
Bhuna Maas (steamed) - 4571,International,58,3.5,13.9,0.2,Yes,No,decreases,neutral,neutral,Beverages,0.0
Gustaba (steamed),Jammu & Kashmir,126,5.0,38.9,0.7,Yes,No,neutral,neutral,neutral,Beverages,0.0
Dates (with jaggery (small)) - 4573,Assamese,125,1.0,30.2,0.0,Yes,Yes,decreases,neutral,neutral,Others,
Sabudana Khichdi (with jaggery (small)) - 4574,Jammu & Kashmir,201,4.7,39.8,0.5,Yes,No,decreases,neutral,neutral,Others,
Plain Dosa (with jaggery (small)) - 4575,Rajasthani,221,4.0,40.8,1.0,Yes,No,decreases,decreases,neutral,Grains,6.0
Ghevar (mild) - 4576,Gujarati,100,4.1,39.8,1.3,Yes,No,decreases,neutral,neutral,Others,
Toor Dal (light) (mild) - 4577,International,188,4.0,28.0,1.5,Yes,No,decreases,decreases,neutral,Legumes/Pulses,1.0
Prawn Balchão (sprouted) - 4578,Generic,221,28.3,3.2,6.8,No,No,neutral,increases,neutral,Others,
Sarson da Saag with Makki di Roti (fermented (mild)) - 4579,Karnataka,104,8.8,33.9,1.5,Yes,No,neutral,neutral,neutral,Grains,1.5
Steamed Idli (fermented (mild)) - 4580,Chhattisgarh,155,2.3,27.7,0.4,Yes,No,decreases,decreases,neutral,Grains,0.5
Kitchari (moong+rice) (mild) - 4581,Jammu & Kashmir,199,6.9,20.4,1.1,Yes,No,decreases,decreases,neutral,Grains,0.5
Akki Rotti (mild) - 4582,Jammu & Kashmir,102,3.0,31.3,0.0,Yes,No,neutral,neutral,neutral,Grains,2.0
Plain Pasta (olive oil light) (lightly spiced),International,30,4.1,29.4,3.1,Yes,No,decreases,neutral,neutral,Others,
Pineapple (thin) - 4584,Northeast,102,1.5,15.4,1.1,Yes,Yes,decreases,neutral,neutral,Fruits,0.3
Apricot (sprouted) - 4585,International,36,3.2,28.0,0.6,Yes,Yes,decreases,neutral,neutral,Others,
Kakori Kebab (thin),Kerala,145,5.9,44.2,0.6,Yes,No,neutral,neutral,neutral,Others,
Kehwa (mild) - 4587,Chhattisgarh,172,4.2,11.7,0.0,Yes,No,neutral,neutral,neutral,Others,
Makhan Bada (with vegetables),Goan,111,2.4,32.1,2.7,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Gya Thuk (sprouted),Bengali,141,4.1,38.8,0.0,Yes,No,neutral,neutral,neutral,Others,
Tofu (light) (plain) - 4590,Jammu & Kashmir,97,3.6,23.0,1.5,Yes,Yes,decreases,neutral,neutral,Others,
Pork with Bamboo Shoot (fermented (mild)) - 4591,Goan,213,26.8,0.0,6.9,No,No,neutral,neutral,neutral,Others,
Mohan Maas (steamed) - 4592,Punjabi,126,5.1,31.5,0.0,Yes,No,decreases,decreases,neutral,Beverages,0.0
Yakhni (plain) - 4593,South Indian,133,0.2,10.9,0.0,Yes,No,neutral,neutral,neutral,Others,
Ulava Charu (lightly spiced) - 4594,Generic,122,5.3,26.8,0.0,Yes,No,neutral,increases,neutral,Others,
Thukpa (mild) - 4595,Maharashtrian,159,0.2,35.0,0.0,Yes,No,neutral,neutral,neutral,Others,
Chole Bhature (mild) - 4596,Ladakh,104,5.3,3.2,0.0,Yes,No,decreases,neutral,neutral,Others,
Dabeli (with vegetables),Generic,113,1.0,22.8,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Mango (ripe) (steamed) - 4598,International,47,1.1,26.7,0.0,Yes,Yes,decreases,decreases,increases,Beverages,0.0
Brown Rice (with jaggery (small)) - 4599,Kerala,198,1.7,34.8,0.0,Yes,No,decreases,neutral,neutral,Grains,0.5
Millet Porridge (plain) - 4600,Bengali,122,1.9,27.5,0.6,Yes,No,decreases,decreases,neutral,Others,
Poached Chicken (with jaggery (small)) - 4601,Karnataka,177,18.4,9.3,3.4,No,No,neutral,neutral,neutral,Non-Veg Protein,8.0
Royyala Iguru (with vegetables) - 4602,Generic,83,2.6,36.7,0.7,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Rogan Josh (with vegetables),Chhattisgarh,96,1.5,10.6,0.0,Yes,No,neutral,neutral,neutral,Vegetables,0.5
Millet Porridge (boiled),Lakshadweep,151,2.9,29.5,0.0,Yes,No,decreases,decreases,neutral,Others,
Khar (plain) - 4605,Karnataka,150,4.8,11.4,2.6,Yes,No,neutral,neutral,neutral,Others,
